author,quote,no_stopwords,lemmatized,stemmed
Scott McClellan,"Let's put this in perspective. I mean, this issue here relates to the threat that Saddam Hussein and his regime posed to the region, to his people and to the world. And the statement in the State of the Union was one piece of one part of a much larger body of evidence.",Let put perspective mean issue relates threat Saddam Hussein regime posed region people world statement State Union one piece one part much larger body evidence,Let put perspective mean issue relate threat Saddam Hussein regime pose region people world statement State Union one piece one part much large body evidence,let put perspect mean issu relat threat saddam hussein regim pose region peopl world statement state union one piec one part much larg bodi evid
Scott McClellan,The best way to get to peace is through the two-state vision that the president outlined.,best way get peace two state vision president outlined,best way get peace two state vision president outline,best way get peac two state vision presid outlin
Scott McClellan,We've got to continue working to get them assistance as quickly as we can. There is some level of patience that obviously is going to be required during this time ... but we are urging everyone to move forward as quickly as they can to get people the help they need.,got continue working get assistance quickly level patience obviously going required time urging everyone move forward quickly get people help need,get continue work get assistance quickly level patience obviously go require time urge everyone move forward quickly get people help need,get continu work get assist quick level patienc obvious go requir time urg everyon move forward quick get peopl help need
Scott McClellan,"We don't typically tend to get into discussing legal matters of that nature. But in this instance, the president chose to respond to it. Call it presidential prerogative.",typically tend get discussing legal matters nature instance president chose respond Call presidential prerogative,typically tend get discus legal matter nature instance president choose respond Call presidential prerogative,typic tend get discus legal matter natur instanc presid choos respond call presidenti prerog
Scott McClellan,I'm not expecting anything of that nature at this point. What we have done is work to make sure that they get the information they need to do their job. We've worked in good faith.,expecting anything nature point done work make sure get information need job worked good faith,expect anything nature point do work make sure get information need job work good faith,expect anyth natur point do work make sure get inform need job work good faith
Scott McClellan,All of us here serve at the pleasure of the president. And that's important to keep in mind.,us serve pleasure president important keep mind,u serve pleasure president important keep mind,u serv pleasur presid import keep mind
Scott McClellan,"Let's keep in mind, when you have hurricanes, I don't know of instances when there is not flooding. So I think that is stating something that could be fairly obvious.",Let keep mind hurricanes know instances flooding think stating something could fairly obvious,Let keep mind hurricane know instance flood think state something could fairly obvious,let keep mind hurrican know instanc flood think state someth could fair obvious
Scott McClellan,"This had been something in the back of the president's mind in case such a scenario came into being, if the chief justice had retired. The president when he met with [Roberts] knew he was a natural-born leader.",something back president mind case scenario came chief justice retired president met Roberts knew natural born leader,something back president mind case scenario come chief justice retire president meet Roberts know natural bear leader,someth back presid mind case scenario come chief justic retir presid meet robert know natur bear leader
Scott McClellan,Maybe Senator Kerry needs to be spending more time in the United States Senate so he can refresh his memory on Senate rules. The Senate rules say you have to have the votes in order to filibuster.,Maybe Senator Kerry needs spending time United States Senate refresh memory Senate rules Senate rules say votes order filibuster,Maybe Senator Kerry need spend time United States Senate refresh memory Senate rule Senate rule say vote order filibuster,mayb senat kerri need spend time unit state senat refresh memori senat rule senat rule say vote order filibust
Scott McClellan,"He is strongly committed to protecting the sanctity of marriage, ... this is an issue that has been raised because of some court cases and we're going to continue to monitor those court cases and the president is strongly committed as a matter of principle to protecting the sanctity of marriage.",strongly committed protecting sanctity marriage issue raised court cases going continue monitor court cases president strongly committed matter principle protecting sanctity marriage,strongly commit protect sanctity marriage issue raise court case go continue monitor court case president strongly commit matter principle protect sanctity marriage,strong commit protect sanctiti marriag issu rais court case go continu monitor court case presid strong commit matter principl protect sanctiti marriag
Scott McClellan,"these are different times we are living in now, a different world.",different times living different world,different time live different world,differ time live differ world
Scott McClellan,"Georgia is a beacon of liberty for the world, and the president will talk about that in his remarks.",Georgia beacon liberty world president talk remarks,Georgia beacon liberty world president talk remark,georgia beacon liberti world presid talk remark
Scott McClellan,The two leaders talked about the outstanding performance of Canadian troops deployed in the south. They talked about the ongoing NATO deployments over the course of the summer.,two leaders talked outstanding performance Canadian troops deployed south talked ongoing NATO deployments course summer,two leader talk outstanding performance Canadian troop deploy south talk ongoing NATO deployment course summer,two leader talk outstand perform canadian troop deploy south talk ongo nato deploy cours summer
Scott McClellan,We support improving and reforming the CFIUS process and so we're engaging congressional leaders on that important issue and we're looking at ideas.,support improving reforming CFIUS process engaging congressional leaders important issue looking ideas,support improve reform CFIUS process engage congressional leader important issue look idea,support improv reform cfius process engag congression leader import issu look idea
Scott McClellan,"They were offered the same kind of access that congressional leaders, who are responsible for oversight of these matters, have been provided. Yet they declined to go.",offered kind access congressional leaders responsible oversight matters provided Yet declined go,offer kind access congressional leader responsible oversight matter provide Yet decline go,offer kind access congression leader respons oversight matter provid yet declin go
Scott McClellan,"Primarily, they talked about the increased border violence, and the two leaders talked about the importance of working together to improve our border security and stop the violence.",Primarily talked increased border violence two leaders talked importance working together improve border security stop violence,Primarily talk increase border violence two leader talk importance work together improve border security stop violence,primarili talk increas border violenc two leader talk import work togeth improv border secur stop violenc
Scott McClellan,It's up to the Iraqi people to choose who their leaders are.,Iraqi people choose leaders,Iraqi people choose leader,iraqi peopl choos leader
Scott McClellan,"While the two leaders had differences at times on policy, the president said that he enjoyed working with Chancellor Schroeder,",two leaders differences times policy president said enjoyed working Chancellor Schroeder,two leader difference time policy president say enjoy work Chancellor Schroeder,two leader differ time polici presid say enjoy work chancellor schroeder
Scott McClellan,The two leaders will also discuss a range of other bilateral and regional issues.,two leaders also discuss range bilateral regional issues,two leader also discus range bilateral regional issue,two leader also discus rang bilater region issu
Scott McClellan,"In survey after survey, the Iraqi people say, 'We want to choose our leaders,'",survey survey Iraqi people say want choose leaders,survey survey Iraqi people say want choose leader,survey survey iraqi peopl say want choos leader
Scott McClellan,That was what was arranged with the local law enforcement authorities. You ought to ask them that question.,arranged local law enforcement authorities ought ask question,arrange local law enforcement authority ought ask question,arrang local law enforc author ought ask question
Scott McClellan,"Texas law has many safeguards in place to prevent someone who is not competent from even going to trial, much less being executed.",Texas law many safeguards place prevent someone competent even going trial much less executed,Texas law many safeguard place prevent someone competent even go trial much le execute,texa law mani safeguard place prevent someon compet even go trial much le execut
Scott McClellan,who will interpret law and not make law from the bench.,interpret law make law bench,interpret law make law bench,interpret law make law bench
Scott McClellan,We're committed to working with Nigeria and Liberia to make sure that Charles Taylor is brought to justice.,committed working Nigeria Liberia make sure Charles Taylor brought justice,commit work Nigeria Liberia make sure Charles Taylor bring justice,commit work nigeria liberia make sure charl taylor bring justic
Scott McClellan,"The president intends to underscore his personal support for their efforts to seek justice for the disappeared, as well as for all those who seek to return freedom to Belarus.",president intends underscore personal support efforts seek justice disappeared well seek return freedom Belarus,president intend underscore personal support effort seek justice disappear well seek return freedom Belarus,presid intend underscor person support effort seek justic disappear well seek return freedom belarus
Scott McClellan,We urge all Iraqis to show restraint in the wake of this tragedy and to pursue justice in accordance with the laws and constitution of Iraq. Violence can only contribute to what the terrorists sought to achieve by this act.,urge Iraqis show restraint wake tragedy pursue justice accordance laws constitution Iraq Violence contribute terrorists sought achieve act,urge Iraqis show restraint wake tragedy pursue justice accordance law constitution Iraq Violence contribute terrorist seek achieve act,urg iraqi show restraint wake tragedi pursu justic accord law constitut iraq violenc contribut terrorist seek achiev act
Scott McClellan,"This administration acted quickly, and our military acted quickly, to hold people to account and bring them to justice, and to also take steps to prevent something like that from happening again.",administration acted quickly military acted quickly hold people account bring justice also take steps prevent something like happening,administration act quickly military act quickly hold people account bring justice also take step prevent something like happen,administr act quick militari act quick hold peopl account bring justic also take step prevent someth like happen
Scott McClellan,Our military goes out of the way to target the enemy and to bring to justice the terrorists and those who are seeking to prevent democracy from taking hold through violent means.,military goes way target enemy bring justice terrorists seeking prevent democracy taking hold violent means,military go way target enemy bring justice terrorist seek prevent democracy take hold violent mean,militari go way target enemi bring justic terrorist seek prevent democraci take hold violent mean
Scott McClellan,We are complying fully with the request from the Department of Justice.,complying fully request Department Justice,comply fully request Department Justice,compli fulli request depart justic
Scott McClellan,Chief Justice Roberts is someone that the American people will be proud of for many years to come.,Chief Justice Roberts someone American people proud many years come,Chief Justice Roberts someone American people proud many year come,chief justic robert someon american peopl proud mani year come
Scott McClellan,That's what the Justice Department did; we were not involved in it.,Justice Department involved,Justice Department involve,justic depart involv
Scott McClellan,is going to make an outstanding chief justice.,going make outstanding chief justice,go make outstanding chief justice,go make outstand chief justic
Scott McClellan,"This had been something that had been in the president's thinking for some time Ã‘ in case the chief justice retired or that there otherwise was a vacancy. The president when he met with him, knew he was a natural born leader. The president knew Judge Roberts had the qualities to lead the court.",something president thinking time Ã case chief justice retired otherwise vacancy president met knew natural born leader president knew Judge Roberts qualities lead court,something president think time Ã case chief justice retire otherwise vacancy president meet know natural bear leader president know Judge Roberts quality lead court,someth presid think time ã case chief justic retir otherwis vacanc presid meet know natur bear leader presid know judg robert qualiti lead court
Scott McClellan,"[Even then, aides said yesterday that the president intended to elevate Roberts to chief justice whenever the job came open.] This had been something in the back of the president's mind in case such a scenario came into being, if the chief justice had retired, ... The president, when he met with [Roberts], knew he was a natural-born leader.",Even aides said yesterday president intended elevate Roberts chief justice whenever job came open something back president mind case scenario came chief justice retired president met Roberts knew natural born leader,Even aid say yesterday president intend elevate Roberts chief justice whenever job come open something back president mind case scenario come chief justice retire president meet Roberts know natural bear leader,even aid say yesterday presid intend elev robert chief justic whenev job come open someth back presid mind case scenario come chief justic retir presid meet robert know natur bear leader
Scott McClellan,The tax cuts that we passed are working to create jobs and economic opportunity.,tax cuts passed working create jobs economic opportunity,tax cut pas work create job economic opportunity,tax cut pas work creat job econom opportun
Scott McClellan,It's important we do not let up and we do not stop until the job is done.,important let stop job done,important let stop job do,import let stop job do
Scott McClellan,They're doing a great job. And I don't speculate about personnel matters.,great job speculate personnel matters,great job speculate personnel matter,great job specul personnel matter
Scott McClellan,I cannot count how many times the president has said the intelligence was wrong.,count many times president said intelligence wrong,count many time president say intelligence wrong,count mani time presid say intellig wrong
Scott McClellan,The White House is not an intelligence-gathering agency.,White House intelligence gathering agency,White House intelligence gather agency,white hous intellig gather agenc
Scott McClellan,"Our intelligence indicates that Mr. Whittington may not have been who he presented himself to be. Had the vice president not acted, innocent American quail could have been killed.",intelligence indicates Mr Whittington may presented vice president acted innocent American quail could killed,intelligence indicate Mr Whittington may present vice president act innocent American quail could kill,intellig indic mr whittington may present vice presid act innoc american quail could kill
Scott McClellan,I'm not going to get into specific intelligence activities. I will say that the president's most important responsibility is to protect the American people.,going get specific intelligence activities say president important responsibility protect American people,go get specific intelligence activity say president important responsibility protect American people,go get specif intellig activ say presid import respons protect american peopl
Scott McClellan,"The transaction was closely scrutinized by the appropriate national security and intelligence officials, and important safeguards are in place.",transaction closely scrutinized appropriate national security intelligence officials important safeguards place,transaction closely scrutinize appropriate national security intelligence official important safeguard place,transact close scrutin appropri nation secur intellig offici import safeguard place
Scott McClellan,who has the kind of qualities that he found in Judge Roberts -- has the integrity and the modesty and the judicial temperament needed to serve the American people well in the highest court in the land.,kind qualities found Judge Roberts integrity modesty judicial temperament needed serve American people well highest court land,kind quality find Judge Roberts integrity modesty judicial temperament need serve American people well high court land,kind qualiti find judg robert integr modesti judici tempera need serv american peopl well high court land
Scott McClellan,"I have no new information on that matter. And even if I did have new information, I wouldn't be in position to share it with you.",new information matter even new information position share,new information matter even new information position share,new inform matter even new inform posit share
Scott McClellan,"Absolutely, the President believes that this is a serious matter when you're talking about the leak of classified information. The leak of classified information, yes, you're absolutely right, can compromise sources and methods. That's why the President takes it very seriously, and we've always taken it very seriously.",Absolutely President believes serious matter talking leak classified information leak classified information yes absolutely right compromise sources methods President takes seriously always taken seriously,Absolutely President believe serious matter talk leak classify information leak classify information yes absolutely right compromise source method President take seriously always take seriously,absolut presid believ serious matter talk leak classifi inform leak classifi inform yes absolut right compromis sourc method presid take serious alway take serious
Scott McClellan,The President has been critical about the leaking of classified information. And that view has not changed.,President critical leaking classified information view changed,President critical leak classify information view change,presid critic leak classifi inform view chang
Scott McClellan,The vice president felt that Mrs. Armstrong should be the first one to go out there and provide that information to the public.,vice president felt Mrs Armstrong first one go provide information public,vice president felt Mrs Armstrong first one go provide information public,vice presid felt mrs armstrong first one go provid inform public
Scott McClellan,"It's important, always, to work to make sure you get information out like this as quickly as possible. But it's also important to make sure that the first priority is focused where it should be, and that is making sure that Mr. Whittington has the care that he needs.",important always work make sure get information like quickly possible also important make sure first priority focused making sure Mr Whittington care needs,important always work make sure get information like quickly possible also important make sure first priority focus make sure Mr Whittington care need,import alway work make sure get inform like quick possibl also import make sure first prioriti focus make sure mr whittington care need
Scott McClellan,That's one way to provide information to the public.,one way provide information public,one way provide information public,one way provid inform public
Scott McClellan,"The vice president spoke with Mrs. Katharine Armstrong, and they agreed that she should make that information public. She was an eyewitness. She saw what occurred and she called her local paper to provide those facts.",vice president spoke Mrs Katharine Armstrong agreed make information public eyewitness saw occurred called local paper provide facts,vice president speak Mrs Katharine Armstrong agree make information public eyewitness saw occur call local paper provide fact,vice presid speak mrs katharin armstrong agre make inform public eyewit saw occur call local paper provid fact
Scott McClellan,We wanted to provide additional information so that members of the [committees] had a better understanding of how this program is carefully tailored and it's closely monitored.,wanted provide additional information members committees better understanding program carefully tailored closely monitored,want provide additional information member committee good understand program carefully tailor closely monitor,want provid addit inform member committe good understand program care tailor close monitor
Scott McClellan,This is a narrow request and they're not asking for the production of any information that would identify the person.,narrow request asking production information would identify person,narrow request ask production information would identify person,narrow request ask product inform would identifi person
Scott McClellan,We're very concerned. We are seeking more information from the Pentagon.,concerned seeking information Pentagon,concern seek information Pentagon,concern seek inform pentagon
Scott McClellan,The president takes the issue of the handling of classified information very seriously.,president takes issue handling classified information seriously,president take issue handle classify information seriously,presid take issu handl classifi inform serious
Scott McClellan,The leaking of classified information is a serious matter. It ought to be taken seriously. But this is a congressional prerogative and it was a decision that was made by those leaders and that's the way I would describe it.,leaking classified information serious matter ought taken seriously congressional prerogative decision made leaders way would describe,leak classify information serious matter ought take seriously congressional prerogative decision make leader way would describe,leak classifi inform serious matter ought take serious congression prerog decis make leader way would describ
Scott McClellan,This administration has bent over backwards to make sure the commission has the information they need to do their job.,administration bent backwards make sure commission information need job,administration bend backwards make sure commission information need job,administr bend backward make sure commiss inform need job
Scott McClellan,We are pleased to support their request for an extension and look forward to receiving their information.,pleased support request extension look forward receiving information,please support request extension look forward receive information,pleas support request extens look forward receiv inform
Scott McClellan,Only a limited number of people would even have access to classified information of this nature.,limited number people would even access classified information nature,limit number people would even access classify information nature,limit number peopl would even access classifi inform natur
Scott McClellan,Of course in any matter like this we will cooperate with the Department of Justice. There has been no information brought to us or that has come to our attention beyond the media reports to suggest there was White House involvement.,course matter like cooperate Department Justice information brought us come attention beyond media reports suggest White House involvement,course matter like cooperate Department Justice information bring u come attention beyond medium report suggest White House involvement,cours matter like cooper depart justic inform bring u come attent beyond medium report suggest white hous involv
Scott McClellan,The president believes leaking classified information is a very serious matter and it should be pursued to the fullest extent by the appropriate agency and the appropriate agency is the Department of Justice.,president believes leaking classified information serious matter pursued fullest extent appropriate agency appropriate agency Department Justice,president believe leak classify information serious matter pursue full extent appropriate agency appropriate agency Department Justice,presid believ leak classifi inform serious matter pursu full extent appropri agenc appropri agenc depart justic
Scott McClellan,provided them with an enormous amount of information to be able to move forward on his nomination.,provided enormous amount information able move forward nomination,provide enormous amount information able move forward nomination,provid enorm amount inform abl move forward nomin
Scott McClellan,"There will be a discussion about classified information and the proper handling of classified national security information, how that material is classified, by whom, for how long, who has access to it, how the material is declassified, the badges that people wear to show their security clearances, and so forth. The briefings discuss the security precautions that are in place for handling classified information such as the use of safes or the use of specific locations to view classified information like the Situation Room here at the White House.",discussion classified information proper handling classified national security information material classified long access material declassified badges people wear show security clearances forth briefings discuss security precautions place handling classified information use safes use specific locations view classified information like Situation Room White House,discussion classify information proper handle classify national security information material classify long access material declassify badge people wear show security clearance forth brief discus security precaution place handle classify information use safe use specific location view classify information like Situation Room White House,discuss classifi inform proper handl classifi nation secur inform materi classifi long access materi declassifi badg peopl wear show secur clearanc forth brief discus secur precaut place handl classifi inform use safe use specif locat view classifi inform like situat room white hous
Scott McClellan,"There will be a discussion about classified information and the proper handling of classified national security information, how that material is classified, by whom, for how long, who has access to it, how the material is declassified, the badges that people wear to show their security clearances, and so forth, ... The briefings discuss the security precautions that are in place for handling classified information such as the use of safes or the use of specific locations to view classified information like the Situation Room here at the White House.",discussion classified information proper handling classified national security information material classified long access material declassified badges people wear show security clearances forth briefings discuss security precautions place handling classified information use safes use specific locations view classified information like Situation Room White House,discussion classify information proper handle classify national security information material classify long access material declassify badge people wear show security clearance forth brief discus security precaution place handle classify information use safe use specific location view classify information like Situation Room White House,discuss classifi inform proper handl classifi nation secur inform materi classifi long access materi declassifi badg peopl wear show secur clearanc forth brief discus secur precaut place handl classifi inform use safe use specif locat view classifi inform like situat room white hous
Scott McClellan,There are a number of low-income seniors ... that were affected by Katrina.And it's important that we continue to move forward to provide seniors with the prescription-drug benefit and other benefits provided under the Medicare reforms that were passed,number low income seniors affected Katrina important continue move forward provide seniors prescription drug benefit benefits provided Medicare reforms passed,number low income senior affect Katrina important continue move forward provide senior prescription drug benefit benefit provide Medicare reform pas,number low incom senior affect katrina import continu move forward provid senior prescript drug benefit benefit provid medicar reform pas
Scott McClellan,"We have been listening to the views and ideas from members of the Senate and the president will take those into account as he makes the decision on who should fill that vacancy,",listening views ideas members Senate president take account makes decision fill vacancy,listen view idea member Senate president take account make decision fill vacancy,listen view idea member senat presid take account make decis fill vacanc
Scott McClellan,We are open to ideas regarding legislation. The one thing the president said was that he would resist legislation if it would compromise this vital program that helps save lives and prevent attacks from happening.,open ideas regarding legislation one thing president said would resist legislation would compromise vital program helps save lives prevent attacks happening,open idea regard legislation one thing president say would resist legislation would compromise vital program help save live prevent attack happen,open idea regard legisl one thing presid say would resist legisl would compromis vital program help save live prevent attack happen
Scott McClellan,"There's kind of a high bar to overcome. We think there's some good ideas, but we have not seen actual legislation.",kind high bar overcome think good ideas seen actual legislation,kind high bar overcome think good idea see actual legislation,kind high bar overcom think good idea see actual legisl
Scott McClellan,There is a high bar to overcome on such ideas.,high bar overcome ideas,high bar overcome idea,high bar overcom idea
Scott McClellan,We welcome ideas that they have.,welcome ideas,welcome idea,welcom idea
Scott McClellan,We welcome all ideas that are being discussed.,welcome ideas discussed,welcome idea discus,welcom idea discus
Scott McClellan,Gov. Bush knows that you win campaigns based on ideas.,Gov Bush knows win campaigns based ideas,Gov Bush know win campaign base idea,gov bush know win campaign base idea
Scott McClellan,This is the time for people to be offering big ideas and offering ways for us to move forward on the rebuilding and recovery.,time people offering big ideas offering ways us move forward rebuilding recovery,time people offer big idea offer way u move forward rebuild recovery,time peopl offer big idea offer way u move forward rebuild recoveri
Scott McClellan,I think his hypocrisy knows no bounds.,think hypocrisy knows bounds,think hypocrisy know bound,think hypocrisi know bound
Scott McClellan,"Saddam Hussein is facing Iraqi justice for his crimes against humanity, and that's the way it should be. And there should be due process afforded to all leaders of the regime.",Saddam Hussein facing Iraqi justice crimes humanity way due process afforded leaders regime,Saddam Hussein face Iraqi justice crime humanity way due process afford leader regime,saddam hussein face iraqi justic crime human way due process afford leader regim
Scott McClellan,"On September 11th, the president will honor those whose lives were lost in a respectful and solemn way. He will also talk about the task that lies ahead as we continue defending freedom and honoring those who gave their lives that day.",September 11th president honor whose lives lost respectful solemn way also talk task lies ahead continue defending freedom honoring gave lives day,September 11th president honor whose live lose respectful solemn way also talk task lie ahead continue defend freedom honor give live day,septemb 11th presid honor whose live lose respect solemn way also talk task lie ahead continu defend freedom honor give live day
Scott McClellan,The president believes Secretary Rumsfeld is doing a very fine job during a challenging period in our nation's history.,president believes Secretary Rumsfeld fine job challenging period nation history,president believe Secretary Rumsfeld fine job challenge period nation history,presid believ secretari rumsfeld fine job challeng period nation histori
Scott McClellan,"We will see. Given their history, you can understand why we remain skeptical. The regime has shown they cannot be trusted.",see Given history understand remain skeptical regime shown trusted,see Given history understand remain skeptical regime show trust,see given histori understand remain skeptic regim show trust
Scott McClellan,"We'll see, but given their history you can understand why we remain skeptical.",see given history understand remain skeptical,see give history understand remain skeptical,see give histori understand remain skeptic
Scott McClellan,This is a historic moment in the history of Iraq. It is a hopeful moment for the entire region.,historic moment history Iraq hopeful moment entire region,historic moment history Iraq hopeful moment entire region,histor moment histori iraq hope moment entir region
Scott McClellan,"From reading the excerpts, it appears to offer some interesting perspectives on recent history. And as time goes by and as we continue to reflect on history, I'm sure there are going to be a lot of other perspectives and insights offered, as well.",reading excerpts appears offer interesting perspectives recent history time goes continue reflect history sure going lot perspectives insights offered well,read excerpt appear offer interest perspective recent history time go continue reflect history sure go lot perspective insight offer well,read excerpt appear offer interest perspect recent histori time go continu reflect histori sure go lot perspect insight offer well
Scott McClellan,This is one of the most devastating storms in our nation's history. I think that's becoming clear to everyone. The destruction and loss of life is very sobering.,one devastating storms nation history think becoming clear everyone destruction loss life sobering,one devastate storm nation history think become clear everyone destruction loss life sober,one devast storm nation histori think becom clear everyon destruct loss life sober
Scott McClellan,He will touch on how there has been a long history of injustice that has led to poverty and inequality. It's not something we're going to overcome instantly.,touch long history injustice led poverty inequality something going overcome instantly,touch long history injustice lead poverty inequality something go overcome instantly,touch long histori injustic lead poverti inequ someth go overcom instant
Scott McClellan,"There is a deep history of injustice that has led to poverty and inequality, and it will not be overcome instantly, ... But the president from day one has been acting boldly to achieve real results for all Americans.",deep history injustice led poverty inequality overcome instantly president day one acting boldly achieve real results Americans,deep history injustice lead poverty inequality overcome instantly president day one act boldly achieve real result Americans,deep histori injustic lead poverti inequ overcom instant presid day one act bold achiev real result american
Scott McClellan,The president is concerned about his health situation. He is a courageous leader who has taken some bold steps to help advance peace in the Middle East.,president concerned health situation courageous leader taken bold steps help advance peace Middle East,president concern health situation courageous leader take bold step help advance peace Middle East,presid concern health situat courag leader take bold step help advanc peac middl east
Scott McClellan,In fact this administration proposed a fourfold increase in fines and penalties for violations of the Mine Safety and Health Administration rules.,fact administration proposed fourfold increase fines penalties violations Mine Safety Health Administration rules,fact administration propose fourfold increase fin penalty violation Mine Safety Health Administration rule,fact administr propos fourfold increas fin penalti violat mine safeti health administr rule
Scott McClellan,"Well, I think that the president believes that the vice president's office has ... provided the appropriate information regarding his health.",Well think president believes vice president office provided appropriate information regarding health,Well think president believe vice president office provide appropriate information regard health,well think presid believ vice presid offic provid appropri inform regard health
Scott McClellan,The president is going to be giving a series of speeches to update the American people on our strategy for victory in Iraq.,president going giving series speeches update American people strategy victory Iraq,president go give series speech update American people strategy victory Iraq,presid go give seri speech updat american peopl strategi victori iraq
Scott McClellan,believes that our tax code should encourage home ownership and encourage charitable giving. You've heard him talk about that previously.,believes tax code encourage home ownership encourage charitable giving heard talk previously,believe tax code encourage home ownership encourage charitable give hear talk previously,believ tax code encourag home ownership encourag charit give hear talk previous
Scott McClellan,"This is an important shared priority, and we are reaching out to all our friends and partners and allies in this effort to address it.",important shared priority reaching friends partners allies effort address,important share priority reach friend partner ally effort address,import share prioriti reach friend partner alli effort address
Scott McClellan,"I think our view is very well known when it comes to freedom of assembly, and freedom of assembly by opposition parties and critics of those in power is important when it comes to conducting free elections.",think view well known comes freedom assembly freedom assembly opposition parties critics power important comes conducting free elections,think view well know come freedom assembly freedom assembly opposition party critic power important come conduct free election,think view well know come freedom assembl freedom assembl opposit parti critic power import come conduct free elect
Scott McClellan,Poland is among America's closest friends and allies and a leading strategic partner in the cause of freedom.,Poland among America closest friends allies leading strategic partner cause freedom,Poland among America close friend ally lead strategic partner cause freedom,poland among america close friend alli lead strateg partner caus freedom
Scott McClellan,I think our policy regarding Cuba is pretty well known. We want people in Cuba to participate in freedom.,think policy regarding Cuba pretty well known want people Cuba participate freedom,think policy regard Cuba pretty well know want people Cuba participate freedom,think polici regard cuba pretti well know want peopl cuba particip freedom
Scott McClellan,"There is a good understanding that by advancing freedom in the Middle East, we are making the world a better place and that we're making America more secure.",good understanding advancing freedom Middle East making world better place making America secure,good understand advance freedom Middle East make world good place make America secure,good understand advanc freedom middl east make world good place make america secur
Scott McClellan,The use of force was the last option.,use force last option,use force last option,use forc last option
Scott McClellan,"For me to even respond to that question would force me to talk about an ongoing investigation and legal proceeding, and we have been directed ... And we don't want to do that from this podium no matter how much I may want to talk about this issue. And I think you know that I would like to talk further about it.",even respond question would force talk ongoing investigation legal proceeding directed want podium matter much may want talk issue think know would like talk,even respond question would force talk ongoing investigation legal proceed direct want podium matter much may want talk issue think know would like talk,even respond question would forc talk ongo investig legal proceed direct want podium matter much may want talk issu think know would like talk
Scott McClellan,"We want to make sure there are assurances that that food is going to those who need it, not to the government and not to the military in North Korea.",want make sure assurances food going need government military North Korea,want make sure assurance food go need government military North Korea,want make sure assur food go need govern militari north korea
Scott McClellan,"We have always had concerns, though, that that food is getting to the people who need it: the people who are starving, the people who are hungry,",always concerns though food getting people need people starving people hungry,always concern though food get people need people starve people hungry,alway concern though food get peopl need peopl starv peopl hungri
Scott McClellan,does not believe that food should be used as a diplomatic weapon.,believe food used diplomatic weapon,believe food use diplomatic weapon,believ food use diplomat weapon
Scott McClellan,"[On June 10, 2004, Bush, responded affirmatively when asked in a news conference if he would] fire anyone found ... If anyone in this administration was involved in it, they would no longer be in this administration.",June 10 2004 Bush responded affirmatively asked news conference would fire anyone found anyone administration involved would longer administration,June 10 2004 Bush respond affirmatively ask news conference would fire anyone find anyone administration involve would long administration,june 10 2004 bush respond affirm ask news confer would fire anyon find anyon administr involv would long administr
Scott McClellan,"The president supported the campaign finance legislation and signed it into law because he believes it helped improve the system, and I think today's court ruling will help bring some clarity to the process, ... Our counsel's office will be reviewing this rather lengthy decision.",president supported campaign finance legislation signed law believes helped improve system think today court ruling help bring clarity process counsel office reviewing rather lengthy decision,president support campaign finance legislation sign law believe help improve system think today court rule help bring clarity process counsel office review rather lengthy decision,presid support campaign financ legisl sign law believ help improv system think today court rule help bring clariti process counsel offic review rather lengthi decis
Scott McClellan,"The president supported the campaign finance legislation and signed it into law because he believes it helped improve the system, and I think today's court ruling will help bring some clarity to the process. Our counsel's office will be reviewing this rather lengthy decision.",president supported campaign finance legislation signed law believes helped improve system think today court ruling help bring clarity process counsel office reviewing rather lengthy decision,president support campaign finance legislation sign law believe help improve system think today court rule help bring clarity process counsel office review rather lengthy decision,presid support campaign financ legisl sign law believ help improv system think today court rule help bring clariti process counsel offic review rather lengthi decis
Scott McClellan,"Oh, heavens, no. This happens, and my God, I've never seen a case of hard feelings. I bet this would deepen their friendship.",Oh heavens happens God never seen case hard feelings bet would deepen friendship,Oh heaven happen God never see case hard feel bet would deepen friendship,oh heaven happen god never see case hard feel bet would deepen friendship
